threshold,precision,recall,f1
0.01,0.9113924050632911,1.0,0.9536423841059603
0.02,0.9113924050632911,1.0,0.9536423841059603
0.03,0.9230769230769231,1.0,0.96
0.04,0.935064935064935,1.0,0.9664429530201343
0.05,0.935064935064935,1.0,0.9664429530201343
0.060000000000000005,0.935064935064935,1.0,0.9664429530201343
0.06999999999999999,0.935064935064935,1.0,0.9664429530201343
0.08,0.935064935064935,1.0,0.9664429530201343
0.09,0.9473684210526315,1.0,0.972972972972973
0.09999999999999999,0.9473684210526315,1.0,0.972972972972973
0.11,0.9473684210526315,1.0,0.972972972972973
0.12,0.9473684210526315,1.0,0.972972972972973
0.13,0.9473684210526315,1.0,0.972972972972973
0.14,0.96,1.0,0.9795918367346939
0.15000000000000002,0.972972972972973,1.0,0.9863013698630136
0.16,0.972972972972973,1.0,0.9863013698630136
0.17,0.972972972972973,1.0,0.9863013698630136
0.18000000000000002,0.972972972972973,1.0,0.9863013698630136
0.19,0.972972972972973,1.0,0.9863013698630136
0.2,0.972972972972973,1.0,0.9863013698630136
0.21000000000000002,0.972972972972973,1.0,0.9863013698630136
0.22,0.972972972972973,1.0,0.9863013698630136
0.23,0.972972972972973,1.0,0.9863013698630136
0.24000000000000002,0.972972972972973,1.0,0.9863013698630136
0.25,0.972972972972973,1.0,0.9863013698630136
0.26,0.972972972972973,1.0,0.9863013698630136
0.27,0.972972972972973,1.0,0.9863013698630136
0.28,0.972972972972973,1.0,0.9863013698630136
0.29000000000000004,0.972972972972973,1.0,0.9863013698630136
0.3,0.972972972972973,1.0,0.9863013698630136
0.31,0.9863013698630136,1.0,0.993103448275862
0.32,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.33,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.34,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.35000000000000003,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.36000000000000004,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.37,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.38,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.39,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.4,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.41000000000000003,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.42000000000000004,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.43,0.9859154929577465,0.9722222222222222,0.9790209790209791
0.44,0.9859154929577465,0.9722222222222222,0.9790209790209791
0.45,0.9857142857142858,0.9583333333333334,0.971830985915493
0.46,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.47000000000000003,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.48000000000000004,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.49,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.5,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.51,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.52,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.53,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.54,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.55,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.56,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.5700000000000001,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.5800000000000001,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.59,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.6,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.61,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.62,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.63,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.64,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.65,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.66,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.67,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.68,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.6900000000000001,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.7000000000000001,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.7100000000000001,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.72,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.73,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.74,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.75,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.76,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.77,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.78,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.79,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.8,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.81,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.8200000000000001,0.984375,0.875,0.9264705882352942
0.8300000000000001,0.9841269841269841,0.8611111111111112,0.9185185185185185
0.8400000000000001,0.9838709677419355,0.8472222222222222,0.9104477611940298
0.85,0.9836065573770492,0.8333333333333334,0.9022556390977443
0.86,0.9830508474576272,0.8055555555555556,0.8854961832061069
0.87,0.9830508474576272,0.8055555555555556,0.8854961832061069
0.88,1.0,0.8055555555555556,0.8923076923076924
0.89,1.0,0.7916666666666666,0.8837209302325582
0.9,1.0,0.7916666666666666,0.8837209302325582
0.91,1.0,0.7638888888888888,0.8661417322834646
0.92,1.0,0.75,0.8571428571428571
0.93,1.0,0.7222222222222222,0.8387096774193549
0.9400000000000001,1.0,0.7222222222222222,0.8387096774193549
0.9500000000000001,1.0,0.6944444444444444,0.819672131147541
0.9600000000000001,1.0,0.6805555555555556,0.8099173553719008
0.97,1.0,0.6666666666666666,0.8
0.98,1.0,0.6111111111111112,0.7586206896551724
0.99,1.0,0.4722222222222222,0.6415094339622641
